lambda,r
466.8629456,516
467.0253601,739
467.1877441,778
467.3501587,762
467.5125427,854
467.6749573,686
467.8373108,689
467.9996948,701
468.1620789,709
468.3244324,705
468.4867859,587
468.6491394,668
468.8114624,778
468.9737854,830
469.1361084,724
469.2984314,707
469.4607544,904
469.6230469,759
469.7853394,733
469.9476318,742
470.1099243,817
470.2721863,722
470.4344788,729
470.5967407,774
470.7589722,611
470.9212341,686
471.0834656,705
471.245697,832
471.4079285,603
471.5701599,679
471.7323608,755
471.8945618,692
472.0567627,686
472.2189636,705
472.381134,683
472.5433044,621
472.7054749,936
472.8676453,701
473.0297852,778
473.1919556,843
473.3540955,810
473.5162354,766
473.6783447,686
473.8404541,651
474.002594,1039
474.1646729,679
474.3267822,793
474.4888611,851
474.6509705,779
474.8130493,763
474.9750977,649
475.1371765,750
475.2992249,671
475.4612732,879
475.6233215,749
475.7853394,778
475.9473877,739
476.1094055,687
476.2714233,781
476.4334106,814
476.5953979,763
476.7574158,667
476.9194031,699
477.0813599,768
477.2433472,701
477.405304,741
477.5672607,773
477.7292175,817
477.8911438,754
478.0530701,812
478.2149963,768
478.3769226,722
478.5388489,758
478.7007446,693
478.8626404,720
479.0245361,926
479.1864319,739
479.3482971,765
479.5101624,636
479.6720276,742
479.8338928,647
479.9957275,757
480.1575928,664
480.3194275,778
480.4812317,865
480.6430664,651
480.8048706,906
480.9666748,766
481.128479,789
481.2902832,728
481.4520569,735
481.6138306,877
481.7756042,813
481.9373779,820
482.0991211,722
482.2608643,933
482.4226074,722
482.5843506,780
482.7460632,838
482.9078064,753
483.069519,770
483.2312012,737
483.3929138,798
483.5545959,877
483.7162781,738
483.8779602,689
484.0396423,904
484.2012939,703
484.3629456,608
484.5245972,815
484.6862488,906
484.8478699,798
485.009491,805
485.1711121,736
485.3327332,697
485.4943237,863
485.6559448,883
485.8175354,728
485.9790955,830
486.140686,790
486.3022461,743
486.4638062,851
486.6253662,670
486.7869263,867
486.9484558,799
487.1099854,703
487.2715149,967
487.4330444,943
487.5945435,769
487.7560425,629
487.9175415,785
488.0790405,811
488.240509,857
488.4019775,774
488.563446,798
488.7249146,762
488.8863831,755
489.047821,654
489.209259,807
489.370697,829
489.5321045,849
489.6935425,809
489.85495,739
490.0163574,813
490.1777344,812
490.3391418,756
490.5005188,760
490.6618958,673
490.8232422,688
490.9846191,648
491.1459656,858
491.307312,794
491.4686584,650
491.6299744,786
491.7912903,796
491.9526062,827
492.1139221,545
492.275238,855
492.4365234,793
492.5978088,656
492.7590942,721
492.9203491,714
493.0816345,751
493.2428894,818
493.4041443,862
493.5653687,820
493.7266235,781
493.8878479,667
494.0490723,725
494.2102661,797
494.3714905,716
494.5326843,836
494.6938782,835
494.855072,690
495.0162354,814
495.1773987,844
495.338562,674
495.4997253,765
495.6608887,831
495.8220215,823
495.9831543,902
496.1442871,829
496.3053894,662
496.4665222,763
496.6276245,711
496.7886963,719
496.9497986,908
497.1108704,811
497.2719727,647
497.4330139,705
497.5940857,797
497.7551575,732
497.9161987,743
498.07724,717
498.2382507,734
498.399292,702
498.5603027,790
498.7213135,851
498.8823242,736
499.0433044,719
499.2042847,699
499.3652649,821
499.5262451,795
499.6872253,710
499.848175,717
500.0091248,789
500.1700745,794
500.3310242,781
500.4919434,863
500.6528625,652
500.8137817,760
500.9746704,745
501.1355896,726
501.2964783,751
501.4573669,662
501.6182556,776
501.7791138,802
501.9399719,689
502.1008301,711
502.2616882,717
502.4225159,758
502.5833435,825
502.7441711,628
502.9049988,741
503.0658264,632
503.2266235,785
503.3874207,720
503.5482178,734
503.7089844,944
503.869751,712
504.0305481,686
504.1912842,794
504.3520508,853
504.5127869,814
504.6735229,626
504.834259,807
504.9949951,783
505.1557007,950
505.3164063,901
505.4771118,795
505.6378174,811
505.7984924,799
505.9591675,711
506.1198425,926
506.2805176,757
506.4411621,743
