lambda,b
475.7853394,5130
475.9473877,5120
476.1094055,5167
476.2714233,4927
476.4334106,4968
476.5953979,4939
476.7574158,4876
476.9194031,5065
477.0813599,4823
477.2433472,4710
477.405304,4741
477.5672607,4724
477.7292175,4602
477.8911438,4547
478.0530701,4599
478.2149963,4536
478.3769226,4414
478.5388489,4343
478.7007446,4373
478.8626404,4251
479.0245361,4346
479.1864319,4337
479.3482971,4229
479.5101624,3922
479.6720276,3899
479.8338928,3885
479.9957275,3884
480.1575928,3988
480.3194275,3875
480.4812317,3917
480.6430664,3748
480.8048706,3882
480.9666748,3768
481.128479,3699
481.2902832,3604
481.4520569,3546
481.6138306,3615
481.7756042,3502
481.9373779,3329
482.0991211,3336
482.2608643,3393
482.4226074,3173
482.5843506,3377
482.7460632,3204
482.9078064,3174
483.069519,2992
483.2312012,3030
483.3929138,2936
483.5545959,3046
483.7162781,2703
483.8779602,2730
484.0396423,2913
484.2012939,2672
484.3629456,2641
484.5245972,2725
484.6862488,2771
484.8478699,2650
485.009491,2638
485.1711121,2436
485.3327332,2506
485.4943237,2627
485.6559448,2619
485.8175354,2427
485.9790955,2476
486.140686,2405
486.3022461,2293
486.4638062,2535
486.6253662,2157
486.7869263,2314
486.9484558,2258
487.1099854,2330
487.2715149,2385
487.4330444,2254
487.5945435,2051
487.7560425,2051
487.9175415,2143
488.0790405,2076
488.240509,2095
488.4019775,1931
488.563446,2031
488.7249146,1991
488.8863831,1792
489.047821,1885
489.209259,2023
489.370697,1881
489.5321045,2007
489.6935425,1850
489.85495,1818
490.0163574,1879
490.1777344,1992
490.3391418,1815
490.5005188,1729
490.6618958,1755
490.8232422,1655
490.9846191,1628
491.1459656,1701
491.307312,1730
491.4686584,1633
491.6299744,1667
491.7912903,1784
491.9526062,1568
492.1139221,1539
492.275238,1696
492.4365234,1643
492.5978088,1650
492.7590942,1612
492.9203491,1433
493.0816345,1658
493.2428894,1633
493.4041443,1683
493.5653687,1648
493.7266235,1586
493.8878479,1413
494.0490723,1534
494.2102661,1475
494.3714905,1432
494.5326843,1569
494.6938782,1562
494.855072,1373
495.0162354,1465
495.1773987,1594
495.338562,1378
495.4997253,1565
495.6608887,1552
495.8220215,1396
495.9831543,1507
496.1442871,1373
496.3053894,1312
496.4665222,1406
496.6276245,1232
496.7886963,1385
496.9497986,1466
497.1108704,1458
497.2719727,1259
497.4330139,1202
497.5940857,1442
497.7551575,1297
497.9161987,1281
498.07724,1271
498.2382507,1293
498.399292,1273
498.5603027,1304
498.7213135,1292
498.8823242,1431
499.0433044,1204
499.2042847,1146
499.3652649,1314
499.5262451,1294
499.6872253,1181
499.848175,1172
500.0091248,1165
500.1700745,1229
500.3310242,1245
500.4919434,1296
500.6528625,1074
500.8137817,1270
500.9746704,1236
501.1355896,1248
501.2964783,1050
501.4573669,1227
501.6182556,1277
501.7791138,1204
501.9399719,1120
502.1008301,1071
502.2616882,1113
502.4225159,1266
502.5833435,1168
502.7441711,1094
502.9049988,1225
503.0658264,974
503.2266235,1263
503.3874207,1226
503.5482178,1127
503.7089844,1292
503.869751,1089
504.0305481,1245
504.1912842,1211
504.3520508,1263
504.5127869,1236
504.6735229,1134
504.834259,1092
504.9949951,1091
505.1557007,1293
505.3164063,1306
505.4771118,1071
505.6378174,1234
505.7984924,1237
505.9591675,1218
506.1198425,1335
506.2805176,1123
506.4411621,1155
506.6018066,1218
506.7624512,1189
506.9230957,1103
507.0837402,1109
507.2443542,1179
507.4049683,1143
507.5655518,1210
507.7261658,1079
507.8867493,1102
508.0473328,1097
508.2079163,1321
508.3684692,1095
508.5290527,1167
508.6896057,1215
508.8501587,1178
509.0106812,968
509.1712036,1059
509.3317566,1231
509.4922485,1289
509.652771,1169
509.8132629,1138
509.9737549,1077
510.1342468,1161
510.2947388,1158
510.4552002,1184
510.6156616,1091
510.776123,1242
510.9365845,1208
511.0970154,1171
511.2574463,1140
511.4178772,1177
511.5783081,1155
511.7387085,1114
511.8991394,1165
512.0595093,1266
512.2199097,1270
512.3803101,1285
512.5406494,1199
512.7010498,1248
512.8613892,1317
513.0217285,1093
513.1821289,1166
513.3424683,1321
513.5027466,1140
513.6630859,1208
513.8234253,1340
513.9837036,1321
514.144043,1258
514.3043213,1184
514.4645996,1212
514.6248779,1368
514.7851563,1146
514.9454346,1305
515.1056519,1232
515.2659302,1130
515.4261475,1232
515.5864258,1249
515.7466431,1204
515.9068604,1248
516.0670776,1325
516.2272949,1254
516.3874512,1104
516.5476685,1178
516.7078247,1214
516.868042,1284
517.0281982,1077
517.1883545,1326
517.3485107,1389
517.508667,1245
517.6687622,1234
517.8289185,984
517.9890137,1261
518.1491699,1026
518.3092651,1230
518.4693604,1205
518.6294556,1068
518.7895508,1084
518.949585,1165
519.1096802,1049
519.2697754,1166
519.4298096,1288
519.5898438,1176
519.7498779,1082
519.9099121,1140
520.0699463,1143
520.2299805,1116
520.3899536,1128
520.5499878,871
520.7099609,1024
520.8699951,1057
521.0299683,1060
521.1899414,1048
521.3498535,1193
521.5098267,1056
521.6697998,1060
521.8297119,1066
521.9896851,1052
522.1495972,1146
522.3095093,1130
522.4694214,1268
522.6293335,1185
522.7892456,1102
522.9490967,1157
523.1090088,1065
523.2688599,1044
523.428772,960
523.588623,947
523.7484741,1082
523.9083252,1116
524.0681763,972
524.2279663,1044
524.3878174,1125
524.5476074,1111
524.7073975,1124
524.8672485,1000
525.0270386,1048
525.1868286,1068
525.3465576,971
525.5063477,1020
525.6661377,1042
525.8258667,1076
525.9855957,996
526.1453247,1063
526.3050537,1092
526.4647827,985
526.6245117,1172
526.7842407,998
526.9439087,997
527.1036377,858
527.2633057,1126
527.4229736,968
527.5826416,1055
527.7423096,986
527.9019775,973
528.0616455,1011
528.2212524,1148
528.3809204,1001
528.5405273,1051
528.7001343,764
528.8597412,963
529.0193481,976
529.1789551,930
529.338562,1051
529.4981689,1164
529.6577148,1029
529.8172607,1064
529.9768066,1109
530.1364136,919
530.2959595,910
530.4554443,1020
530.6149902,1010
530.7745361,860
530.934021,873
531.0935059,889
531.2530518,1040
531.4125366,877
531.5720215,992
531.7315063,1130
531.8909302,872
532.050415,924
532.2098389,932
532.3693237,1050
532.5287476,919
532.6881714,794
532.8475952,764
533.007019,888
533.1663818,735
533.3258057,1007
533.4851685,929
533.6445923,902
533.8039551,898
533.9633179,929
534.1226807,861
534.2820435,1046
534.4414063,809
534.600708,775
534.7600708,788
534.9193726,1016
535.0786743,857
535.2379761,822
535.3972778,801
535.5565796,840
535.7158813,870
535.8751221,830
536.0344238,811
536.1936646,742
536.3529053,838
536.512207,927
536.6714478,817
536.8306274,819
536.9898682,829
537.1491089,785
537.3082886,857
537.4674683,916
537.626709,679
537.7858887,876
537.9450684,836
538.104248,894
538.2633667,890
538.4225464,809
538.581665,834
538.7408447,982
538.8999634,741
539.059082,797
539.2182007,700
539.3773193,823
539.536377,687
539.6954956,824
539.8546143,816
540.0136719,780
540.1727295,815
540.3317871,749
540.4908447,798
540.6499023,800
540.80896,862
540.9679565,857
541.1270142,702
541.2860107,853
541.4450073,892
541.6040039,993
541.7630005,822
541.9219971,657
542.0809937,628
542.2399292,708
542.3989258,864
542.5578613,903
542.7167969,798
542.8757324,798
543.034668,790
543.1936035,656
543.3525391,843
543.5114136,759
