lambda,g
553.9823608,5432
554.1407471,5488
554.2991333,5329
554.4575195,5380
554.6158447,5609
554.774231,5466
554.9325562,5128
555.0908813,5272
555.2492676,5294
555.4075928,5146
555.565918,5321
555.7241821,5312
555.8825073,5188
556.0408325,4939
556.1990967,5087
556.3573608,5106
556.515625,4962
556.6738892,4982
556.8321533,4891
556.9904175,4793
557.1486816,4889
557.3068848,4763
557.4651489,4951
557.6233521,4877
557.7815552,4754
557.9397583,4704
558.0979614,4509
558.2561646,4699
558.4143066,4720
558.5725098,4569
558.7306519,4640
558.8887939,4678
559.046936,4565
559.2050781,4530
559.3632202,4506
559.5213623,4458
559.6794434,4315
559.8375854,4502
559.9956665,4385
560.1537476,4381
560.3118896,4437
560.4699097,4283
560.6279907,4251
560.7860718,4348
560.9441528,4118
561.1021729,4092
561.2601929,4069
561.4182129,4135
561.5762329,4140
561.7342529,4113
561.8922729,4180
562.050293,4160
562.208252,4051
562.366272,3990
562.524231,3828
562.6821899,4026
562.8401489,3944
562.9981079,3895
563.1560669,3681
563.3139648,3772
563.4719238,3955
563.6298218,3770
563.7877808,3979
563.9456787,3682
564.1035767,3690
564.2614136,3633
564.4193115,3593
564.5772095,3567
564.7350464,3581
564.8929443,3605
565.0507813,3556
565.2086182,3448
565.3664551,3463
565.524292,3404
565.6820679,3418
565.8399048,3302
565.9976807,3252
566.1555176,3441
566.3132935,3186
566.4710693,3315
566.6288452,3199
566.7866211,3140
566.9443359,3252
567.1021118,3291
567.2598267,3251
567.4175415,3169
567.5753174,3240
567.7330322,3162
567.890686,2959
568.0484009,3157
568.2061157,2908
568.3637695,3076
568.5214844,2963
568.6791382,2977
568.836792,2954
568.9944458,3008
569.1520996,2822
569.3096924,2877
569.4673462,2788
569.625,2887
569.7825928,2604
569.9401855,2811
570.0977783,2690
570.2553711,2598
570.4129639,2583
570.5704956,2800
570.7280884,2579
570.8856201,2605
571.0432129,2527
571.2007446,2677
571.3582764,2562
571.5158081,2517
571.6733398,2458
571.8308105,2519
571.9883423,2550
572.145813,2401
572.3032837,2718
572.4607544,2419
572.6182251,2443
572.7756958,2311
572.9331665,2380
573.0906372,2293
573.2480469,2341
573.4054565,2467
573.5629272,2397
573.7203369,2250
573.8777466,2212
574.0350952,2234
574.1925049,2357
574.3499146,2098
574.5072632,2167
574.6646118,2270
574.8219604,2079
574.9793091,2062
575.1366577,2059
575.2940063,2109
575.451355,1939
575.6086426,2211
575.7659912,1941
575.9232788,2021
576.0805664,1902
576.237854,2109
576.3951416,2055
576.5523682,1734
576.7096558,2066
576.8669434,1783
577.0241699,1856
577.1813965,2159
577.338623,1767
577.4958496,1679
577.6530762,1675
577.8103027,1786
577.9674683,1709
578.1246338,1695
578.2818604,1701
578.4390259,1833
578.5961914,1769
578.7533569,1762
578.9105225,1645
579.067627,1524
579.2247925,1660
579.381897,1562
579.5390015,1501
579.696106,1836
579.8532104,1534
580.0103149,1616
580.1674194,1483
580.3244629,1628
580.4815674,1442
580.6386108,1409
580.7956543,1448
580.9526978,1531
581.1097412,1420
581.2667847,1377
581.4238281,1522
581.5808105,1280
581.737854,1343
581.8948364,1388
582.0518188,1390
582.2088013,1223
582.3657837,1364
582.5227661,1373
582.6796875,1274
582.8366699,1415
582.9935913,1317
583.1505127,1324
583.3074341,1336
583.4643555,1321
583.6212769,1307
583.7781982,1238
583.9350586,1318
584.09198,1098
584.2488403,1144
584.4057007,1265
584.562561,1033
584.7194214,1205
584.8762817,1149
585.0330811,1260
585.1899414,1258
585.3467407,1126
585.50354,1138
585.6604004,1068
585.8171387,1060
585.973938,1103
586.1307373,977
586.2875366,1111
586.4442749,1040
586.6010132,1050
586.7577515,1099
586.9144897,1000
587.071228,1043
587.2279663,998
587.3847046,979
587.5413818,949
587.6981201,982
587.8547974,1095
588.0114746,1075
588.1681519,1161
588.3248291,892
588.4815063,1013
588.6381226,975
588.7947998,927
588.951416,982
589.1080322,1046
589.2646484,994
589.4212646,961
589.5778809,773
589.734436,923
589.8910522,1071
590.0476074,955
590.2042236,924
590.3607788,928
590.517334,937
590.6738892,881
590.8303833,819
590.9869385,1002
591.1434326,928
591.2999878,932
591.4564819,870
591.6129761,779
591.7694702,987
591.9259644,878
592.0823975,902
592.2388916,855
592.3953247,683
592.5517578,813
592.708252,865
